epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,174.045,1.95315,1.47952,1.37102,0.70707,0.66463,0.70872,0.30036,1.89604,1.41408,1.44216,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,177.757,1.96455,1.45784,1.37016,0.69623,0.66667,0.70557,0.30363,1.88601,1.39669,1.43353,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,181.87,1.92181,1.43024,1.33976,0.70335,0.64837,0.69113,0.29754,1.89812,1.39384,1.43295,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,184.664,1.9337,1.4376,1.36088,0.70335,0.64837,0.69113,0.29754,1.89812,1.39384,1.43295,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,187.546,1.86786,1.38376,1.31611,0.70309,0.64228,0.69361,0.29791,1.8937,1.38283,1.42694,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,190.795,1.86383,1.44006,1.35577,0.71096,0.63821,0.68598,0.29854,1.88266,1.37311,1.42201,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,194.659,1.88653,1.39048,1.32533,0.71296,0.65447,0.70397,0.30464,1.86398,1.35532,1.4164,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,198.032,1.86975,1.39565,1.324,0.71296,0.65447,0.70397,0.30464,1.86398,1.35532,1.4164,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,201.638,1.87276,1.35782,1.33301,0.7109,0.65473,0.70424,0.30466,1.84871,1.34767,1.40782,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,205.099,1.83342,1.39421,1.33807,0.6891,0.68293,0.71085,0.30507,1.85224,1.34289,1.41044,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,208.938,1.8157,1.41903,1.3293,0.69867,0.67391,0.71764,0.30931,1.83916,1.33706,1.40394,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,213.41,1.86868,1.38788,1.33385,0.69867,0.67391,0.71764,0.30931,1.83916,1.33706,1.40394,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,215.554,1.90462,1.36256,1.33082,0.70322,0.6748,0.71732,0.31376,1.83372,1.33259,1.40084,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,218.582,1.83437,1.37358,1.32063,0.70412,0.69651,0.71803,0.31166,1.83778,1.32858,1.40097,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,222.482,1.87341,1.36336,1.33165,0.71031,0.69512,0.72171,0.31486,1.82958,1.32361,1.39706,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,225.435,1.82896,1.40184,1.35016,0.71031,0.69512,0.72171,0.31486,1.82958,1.32361,1.39706,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,229.211,1.86591,1.35696,1.32354,0.71483,0.68293,0.7198,0.31283,1.8402,1.32483,1.3987,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,232.925,1.88324,1.36654,1.31656,0.69361,0.69478,0.71631,0.30815,1.85142,1.32958,1.40178,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,236.122,1.81874,1.35519,1.32365,0.71688,0.67886,0.71865,0.31167,1.84236,1.32419,1.39925,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,238.867,1.80726,1.37824,1.31741,0.71688,0.67886,0.71865,0.31167,1.84236,1.32419,1.39925,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,241.266,1.83854,1.37154,1.33796,0.72454,0.67886,0.72332,0.31517,1.83044,1.32208,1.39413,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,244.417,1.81167,1.36788,1.31564,0.74095,0.65854,0.72526,0.31866,1.81644,1.31328,1.3903,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
